CustomerID,Purchase Date,Purchased Items,Total Amount
1,10/2/2017,Desktop,2000$
2,10/2/2017,Laptop,1500$
3,10/2/2017,Laptop,1500$
7,10/2/2017,Desktop,2020$
1,10/2/2017,Laptop,1500$
2,10/2/2017,Desktop,2000$
8,10/2/2017,Laptop,1500$
10,10/2/2017,Laptop,1500$
2,10/2/2017,Desktop,1000$
3,10/2/2017,Laptop,1500$
6,10/2/2017,Laptop,1500$
3,10/2/2017,Desktop,1500$
10,10/2/2017,Laptop,4000$
9,10/2/2017,Laptop,1500$
3,10/2/2017,Desktop,1500$
1,10/2/2017,Laptop,1500$
2,10/2/2017,Laptop,1000$
4,10/2/2017,Desktop,1200$
10,10/2/2017,Desktop,3200$
8,10/2/2017,Desktop,2200$
2,10/2/2017,Laptop,1500$
8,10/2/2017,Laptop,1800$
7,10/2/2017,Laptop,3200$
9,10/2/2017,Desktop,2500$
9,10/2/2017,Laptop,1500$
6,10/2/2017,Desktop,3200$
8,10/2/2017,Desktop,3200$
1,10/2/2017,Desktop,1500$